Longitude,Latitude,Hg_linear_interpolated
98.76824864999999,18.7654381,0.07
99.04578650555554,18.7654381,0.07
99.3233243611111,18.7654381,0.07
99.60086221666666,18.7654381,0.07
99.8784000722222,18.7654381,0.15
100.15593792777777,18.7654381,0.15
100.43347578333332,18.7654381,0.15
100.71101363888889,18.7654381,0.15
100.98855149444444,18.7654381,0.15
101.26608934999999,18.7654381,0.15
101.54362720555555,18.7654381,0.13
101.8211650611111,18.7654381,0.13
102.09870291666665,18.7654381,0.09
102.37624077222222,18.7654381,0.09
102.65377862777777,18.7654381,0.09
102.93131648333332,18.7654381,0.14
103.20885433888888,18.7654381,0.09
103.48639219444443,18.7654381,0.09
103.76393005,18.7654381,0.09
104.04146790555555,18.7654381,0.09
104.3190057611111,18.7654381,0.09
104.59654361666666,18.7654381,0.09
104.87408147222222,18.7654381,0.09
105.15161932777777,18.7654381,0.09
105.42915718333333,18.7654381,0.09
105.70669503888888,18.7654381,0.0378230275879779
105.98423289444443,18.7654381,0.0378230275879779
106.26177075,18.7654381,0.11
106.53930860555555,18.7654381,0.11
106.81684646111111,18.7654381,0.11
107.09438431666666,18.7654381,0.11
107.37192217222221,18.7654381,0.11
107.64946002777778,18.7654381,0.11
107.92699788333333,18.7654381,0.11
108.20453573888888,18.7654381,0.17
108.48207359444444,18.7654381,0.11
108.75961145,18.7654381,0.11
109.03714930555554,18.7654381,0.11
109.31468716111111,18.7654381,0.11
109.59222501666666,18.7654381,0.15
109.86976287222222,18.7654381,0.15
110.14730072777778,18.7654381,0.15
110.42483858333333,18.7654381,0.11
110.70237643888889,18.7654381,0.11
110.97991429444444,18.7654381,0.11
111.25745214999999,18.7654381,0.11
111.53499000555556,18.7654381,0.03
111.8125278611111,18.7654381,0.03
112.09006571666666,18.7654381,0.03
112.36760357222222,18.7654381,0.1
112.64514142777777,18.7654381,0.1
112.92267928333334,18.7654381,0.1
113.20021713888889,18.7654381,0.1
113.47775499444444,18.7654381,0.1
113.75529285,18.7654381,0.03
114.03283070555555,18.7654381,0.03
114.3103685611111,18.7654381,0.03
114.58790641666667,18.7654381,0.06
114.86544427222222,18.7654381,0.06
115.14298212777777,18.7654381,0.1
115.42051998333334,18.7654381,0.1
115.69805783888889,18.7654381,0.1
115.97559569444445,18.7654381,0.1
116.25313355,18.7654381,0.1
116.53067140555555,18.7654381,0.1
116.8082092611111,18.7654381,0.1
117.08574711666667,18.7654381,0.1
117.36328497222222,18.7654381,0.01
117.64082282777778,18.7654381,0.01
117.91836068333333,18.7654381,0.01
118.19589853888888,18.7654381,0.11
118.47343639444445,18.7654381,0.11
118.75097425,18.7654381,0.1
119.02851210555556,18.7654381,0.1
119.30604996111111,18.7654381,0.1
119.58358781666666,18.7654381,0.08
119.86112567222222,18.7654381,0.08
120.13866352777778,18.7654381,0.06
120.41620138333333,18.7654381,0.06
120.6937392388889,18.7654381,0.06
120.97127709444445,18.7654381,0.06
121.24881495,18.7654381,0.06
121.52635280555556,18.7654381,0.2
121.80389066111111,18.7654381,0.2
122.08142851666668,18.7654381,0.2
122.35896637222223,18.7654381,0.2
