Longitude,Latitude,Pb_linear_interpolated
98.76824864999999,18.7654381,4.91
99.04578650555554,18.7654381,4.91
99.3233243611111,18.7654381,4.91
99.60086221666666,18.7654381,4.91
99.8784000722222,18.7654381,2.06
100.15593792777777,18.7654381,2.06
100.43347578333332,18.7654381,2.06
100.71101363888889,18.7654381,2.06
100.98855149444444,18.7654381,2.06
101.26608934999999,18.7654381,2.06
101.54362720555555,18.7654381,5.86
101.8211650611111,18.7654381,5.86
102.09870291666665,18.7654381,6.94
102.37624077222222,18.7654381,6.94
102.65377862777777,18.7654381,6.94
102.93131648333332,18.7654381,5.46
103.20885433888888,18.7654381,6.19
103.48639219444443,18.7654381,6.19
103.76393005,18.7654381,6.19
104.04146790555555,18.7654381,6.19
104.3190057611111,18.7654381,6.19
104.59654361666666,18.7654381,7.59
104.87408147222222,18.7654381,7.59
105.15161932777777,18.7654381,7.59
105.42915718333333,18.7654381,7.59
105.70669503888888,18.7654381,6.79
105.98423289444443,18.7654381,6.79
106.26177075,18.7654381,5.45
106.53930860555555,18.7654381,3.61
106.81684646111111,18.7654381,3.61
107.09438431666666,18.7654381,3.61
107.37192217222221,18.7654381,3.61
107.64946002777778,18.7654381,3.61
107.92699788333333,18.7654381,3.61
108.20453573888888,18.7654381,4.7
108.48207359444444,18.7654381,6.96
108.75961145,18.7654381,6.96
109.03714930555554,18.7654381,6.96
109.31468716111111,18.7654381,6.96
109.59222501666666,18.7654381,7.06
109.86976287222222,18.7654381,7.06
110.14730072777778,18.7654381,7.06
110.42483858333333,18.7654381,2.98
110.70237643888889,18.7654381,2.98
110.97991429444444,18.7654381,2.98
111.25745214999999,18.7654381,2.98
111.53499000555556,18.7654381,6.49
111.8125278611111,18.7654381,6.49
112.09006571666666,18.7654381,6.49
112.36760357222222,18.7654381,2.91
112.64514142777777,18.7654381,2.91
112.92267928333334,18.7654381,2.91
113.20021713888889,18.7654381,10.24
113.47775499444444,18.7654381,10.24
113.75529285,18.7654381,4.07
114.03283070555555,18.7654381,4.07
114.3103685611111,18.7654381,4.07
114.58790641666667,18.7654381,3.59
114.86544427222222,18.7654381,3.59
115.14298212777777,18.7654381,6.08
115.42051998333334,18.7654381,6.08
115.69805783888889,18.7654381,6.08
115.97559569444445,18.7654381,6.08
116.25313355,18.7654381,6.08
116.53067140555555,18.7654381,6.08
116.8082092611111,18.7654381,6.08
117.08574711666667,18.7654381,6.08
117.36328497222222,18.7654381,6.2
117.64082282777778,18.7654381,6.2
117.91836068333333,18.7654381,6.2
118.19589853888888,18.7654381,0.45
118.47343639444445,18.7654381,0.45
118.75097425,18.7654381,6.15
119.02851210555556,18.7654381,6.15
119.30604996111111,18.7654381,6.15
119.58358781666666,18.7654381,2.61
119.86112567222222,18.7654381,2.61
120.13866352777778,18.7654381,4.88
120.41620138333333,18.7654381,4.88
120.6937392388889,18.7654381,4.88
120.97127709444445,18.7654381,4.88
121.24881495,18.7654381,4.88
121.52635280555556,18.7654381,8.33
121.80389066111111,18.7654381,8.33
122.08142851666668,18.7654381,8.33
122.35896637222223,18.7654381,8.33
122.63650422777778,18.7654381,8.33
122.91404208333333,18.7654381,8.33
123.19157993888889,18.7654381,8.47
123.46911779444444,18.7654381,8.47
123.74665565000001,18.7654381,8.47
124.02419350555556,18.7654381,3.83
124.30173136111111,18.7654381,3.83
124.57926921666667,18.7654381,3.83
124.85680707222222,18.7654381,3.309880082025576
125.13434492777779,18.7654381,3.309880082025576
125.41188278333334,18.7654381,3.309880082025576
125.68942063888889,18.7654381,3.309880082025576
125.96695849444444,18.7654381,3.309880082025576
126.24449635,18.7654381,3.309880082025576
98.76824864999999,19.043001633333333,4.91
99.04578650555554,19.043001633333333,4.91
99.3233243611111,19.043001633333333,4.91
99.60086221666666,19.043001633333333,4.91
99.8784000722222,19.043001633333333,4.91
100.15593792777777,19.043001633333333,2.06
100.43347578333332,19.043001633333333,2.06
100.71101363888889,19.043001633333333,2.06
100.98855149444444,19.043001633333333,2.06
101.26608934999999,19.043001633333333,5.86
101.54362720555555,19.043001633333333,5.86
101.8211650611111,19.043001633333333,5.86
102.09870291666665,19.043001633333333,6.94
102.37624077222222,19.043001633333333,6.94
102.65377862777777,19.043001633333333,6.94
102.93131648333332,19.043001633333333,5.46
103.20885433888888,19.043001633333333,5.49
103.48639219444443,19.043001633333333,6.19
103.76393005,19.043001633333333,6.19
104.04146790555555,19.043001633333333,6.19
104.3190057611111,19.043001633333333,6.19
104.59654361666666,19.043001633333333,7.59
104.87408147222222,19.043001633333333,7.59
105.15161932777777,19.043001633333333,7.59
105.42915718333333,19.043001633333333,6.79
105.70669503888888,19.043001633333333,6.79
105.98423289444443,19.043001633333333,6.79
106.26177075,19.043001633333333,5.45
106.53930860555555,19.043001633333333,3.61
106.81684646111111,19.043001633333333,3.61
107.09438431666666,19.043001633333333,3.61
107.37192217222221,19.043001633333333,3.61
107.64946002777778,19.043001633333333,3.61
107.92699788333333,19.043001633333333,3.61
108.20453573888888,19.043001633333333,4.7
108.48207359444444,19.043001633333333,6.96
108.75961145,19.043001633333333,6.96
109.03714930555554,19.043001633333333,6.96
109.31468716111111,19.043001633333333,6.96
109.59222501666666,19.043001633333333,7.06
109.86976287222222,19.043001633333333,7.06
110.14730072777778,19.043001633333333,7.06
110.42483858333333,19.043001633333333,2.98
110.70237643888889,19.043001633333333,2.98
110.97991429444444,19.043001633333333,2.98
111.25745214999999,19.043001633333333,2.98
111.53499000555556,19.043001633333333,6.49
111.8125278611111,19.043001633333333,6.49
112.09006571666666,19.043001633333333,6.49
112.36760357222222,19.043001633333333,2.91
112.64514142777777,19.043001633333333,2.91
112.92267928333334,19.043001633333333,2.91
