Longitude,Latitude,Pb_lagrange_interpolated
98.76824864999999,18.7654381,2.3948642398693212e+26
99.04578650555554,18.7654381,5.506682650305128e+25
99.3233243611111,18.7654381,1.0985144196810264e+25
99.60086221666666,18.7654381,1.7998912309396343e+24
99.8784000722222,18.7654381,2.1809596416386357e+23
100.15593792777777,18.7654381,1.513572516853726e+22
100.43347578333332,18.7654381,1.9538443653153335e+20
100.71101363888889,18.7654381,6.969981441212692e+17
100.98855149444444,18.7654381,-1.1355260323684e+20
101.26608934999999,18.7654381,-9.327231690218694e+19
101.54362720555555,18.7654381,-2.1866230282098962e+19
101.8211650611111,18.7654381,6.337636581541603e+16
102.09870291666665,18.7654381,-6.787402131602535e+18
102.37624077222222,18.7654381,-1.1210529817492918e+19
102.65377862777777,18.7654381,-8.216731784925641e+18
102.93131648333332,18.7654381,-3.6148643607162875e+18
103.20885433888888,18.7654381,-9.302695048712058e+17
103.48639219444443,18.7654381,-8.869918016714894e+16
103.76393005,18.7654381,3591886594964893.0
104.04146790555555,18.7654381,-1.2672773315983596e+16
104.3190057611111,18.7654381,-1090010679622012.9
104.59654361666666,18.7654381,9983415180882304.0
104.87408147222222,18.7654381,6832691225932537.0
105.15161932777777,18.7654381,852748356723031.5
105.42915718333333,18.7654381,60680849455340.66
105.70669503888888,18.7654381,2193244984652452.2
105.98423289444443,18.7654381,2962478958519283.0
106.26177075,18.7654381,1673879865955699.0
106.53930860555555,18.7654381,114612965624053.34
106.81684646111111,18.7654381,-414853911748174.5
107.09438431666666,18.7654381,-83274600600298.25
107.37192217222221,18.7654381,334404601969606.0
107.64946002777778,18.7654381,417061930681345.1
107.92699788333333,18.7654381,253445792184971.12
108.20453573888888,18.7654381,83236522763317.06
108.48207359444444,18.7654381,10798048104842.383
108.75961145,18.7654381,479926746120.59076
109.03714930555554,18.7654381,-1695463677178.2454
109.31468716111111,18.7654381,-6052163807293.049
109.59222501666666,18.7654381,-3493143501010.622
109.86976287222222,18.7654381,1109607576647.2803
110.14730072777778,18.7654381,-4564520649213.452
110.42483858333333,18.7654381,-16268001274006.406
110.70237643888889,18.7654381,-12935474936961.893
110.97991429444444,18.7654381,17086044378592.65
111.25745214999999,18.7654381,56762671061181.516
111.53499000555556,18.7654381,72990092130701.42
111.8125278611111,18.7654381,48598446534630.27
112.09006571666666,18.7654381,-224336601045.2784
112.36760357222222,18.7654381,-38751248307272.305
112.64514142777777,18.7654381,-44792852800466.484
112.92267928333334,18.7654381,-25187982436710.434
113.20021713888889,18.7654381,-4055762946402.488
113.47775499444444,18.7654381,2005911341554.1208
113.75529285,18.7654381,-3857970632251.059
114.03283070555555,18.7654381,-8363623337670.336
114.3103685611111,18.7654381,-5260843060155.224
114.58790641666667,18.7654381,-381974465522.5655
114.86544427222222,18.7654381,-1338582857784.0273
115.14298212777777,18.7654381,-6718922964231.914
115.42051998333334,18.7654381,-8515654587859.86
115.69805783888889,18.7654381,-3620433714239.7964
115.97559569444445,18.7654381,1675277009591.9138
116.25313355,18.7654381,584364617919.9042
116.53067140555555,18.7654381,-4441912475041.64
116.8082092611111,18.7654381,-5668296011093.665
117.08574711666667,18.7654381,-2060191591390.9758
117.36328497222222,18.7654381,187036599207.58124
117.64082282777778,18.7654381,42478417532.31357
117.91836068333333,18.7654381,2020373382787.6138
118.19589853888888,18.7654381,-1788475127445.2324
118.47343639444445,18.7654381,-18537836115089.785
118.75097425,18.7654381,22410685607692.973
119.02851210555556,18.7654381,287620393251086.25
119.30604996111111,18.7654381,787737924252508.0
119.58358781666666,18.7654381,995544479547962.4
119.86112567222222,18.7654381,117296208117417.75
