Longitude,Latitude,Hg_lagrange_interpolated
98.76824864999999,18.7654381,4.568557482912728e+25
99.04578650555554,18.7654381,1.0842747777471808e+25
99.3233243611111,18.7654381,2.238737622995567e+24
99.60086221666666,18.7654381,3.808574253699022e+23
99.8784000722222,18.7654381,4.809102302309357e+22
100.15593792777777,18.7654381,3.4926947188859994e+21
100.43347578333332,18.7654381,4.741895567362268e+19
100.71101363888889,18.7654381,1.7892205421693498e+17
100.98855149444444,18.7654381,-3.106883909872363e+19
101.26608934999999,18.7654381,-2.7432451706276876e+19
101.54362720555555,18.7654381,-6.98904882805164e+18
101.8211650611111,18.7654381,2.2324293381622584e+16
102.09870291666665,18.7654381,-2.683907841591638e+18
102.37624077222222,18.7654381,-5.103753646141143e+18
102.65377862777777,18.7654381,-4.4676056943044163e+18
102.93131648333332,18.7654381,-2.4861916793710725e+18
103.20885433888888,18.7654381,-8.966050678037727e+17
103.48639219444443,18.7654381,-1.5136753239426237e+17
103.76393005,18.7654381,3.792553958162741e+16
104.04146790555555,18.7654381,2.8711562416344732e+16
104.3190057611111,18.7654381,1060280381068365.8
104.59654361666666,18.7654381,-5976975838709719.0
104.87408147222222,18.7654381,-2888976673529454.5
105.15161932777777,18.7654381,-288569402812153.0
105.42915718333333,18.7654381,-14047808734856.701
105.70669503888888,18.7654381,-416058406246561.1
105.98423289444443,18.7654381,-459996975194954.75
106.26177075,18.7654381,-214147772982751.25
106.53930860555555,18.7654381,-12124579655421.938
106.81684646111111,18.7654381,36249843789705.99
107.09438431666666,18.7654381,5964600394044.71
107.37192217222221,18.7654381,-19254436439415.39
107.64946002777778,18.7654381,-18423249613895.387
107.92699788333333,18.7654381,-7452818262654.084
108.20453573888888,18.7654381,-564960994672.1869
108.48207359444444,18.7654381,711753902986.0997
108.75961145,18.7654381,168320791011.82132
109.03714930555554,18.7654381,-18071017389.880257
109.31468716111111,18.7654381,105221552223.20723
109.59222501666666,18.7654381,132575109014.04846
109.86976287222222,18.7654381,52308832111.00637
110.14730072777778,18.7654381,-64549168457.62662
110.42483858333333,18.7654381,-196577147152.80673
110.70237643888889,18.7654381,-180846458747.98422
110.97991429444444,18.7654381,212612210846.65683
111.25745214999999,18.7654381,889292363698.6852
111.53499000555556,18.7654381,1314535118812.4697
111.8125278611111,18.7654381,984529805171.4331
112.09006571666666,18.7654381,4210533716.3685904
112.36760357222222,18.7654381,-925512626753.1945
112.64514142777777,18.7654381,-1157074626021.4553
112.92267928333334,18.7654381,-696361003404.9393
113.20021713888889,18.7654381,-120003629664.20071
113.47775499444444,18.7654381,61445241634.28882
113.75529285,18.7654381,-123714606909.47826
114.03283070555555,18.7654381,-279794546238.1903
114.3103685611111,18.7654381,-181527493860.39645
114.58790641666667,18.7654381,-12141688782.078678
114.86544427222222,18.7654381,-52288249323.04163
115.14298212777777,18.7654381,-266550945178.45682
115.42051998333334,18.7654381,-346644557581.1811
115.69805783888889,18.7654381,-151446965843.39316
115.97559569444445,18.7654381,72081707805.3749
116.25313355,18.7654381,26139292139.79535
116.53067140555555,18.7654381,-202732563098.19135
116.8082092611111,18.7654381,-271063072924.38153
117.08574711666667,18.7654381,-110021184233.36603
117.36328497222222,18.7654381,3844558683.118793
117.64082282777778,18.7654381,1660548552.8143976
117.91836068333333,18.7654381,88695670297.01285
118.19589853888888,18.7654381,-80294702323.59772
118.47343639444445,18.7654381,-830371095472.6067
118.75097425,18.7654381,1274816385387.3284
119.02851210555556,18.7654381,14538059448166.076
119.30604996111111,18.7654381,39686355778952.56
119.58358781666666,18.7654381,49968252268845.62
119.86112567222222,18.7654381,3972690117512.5796
120.13866352777778,18.7654381,-78676094547203.16
120.41620138333333,18.7654381,-60609503824767.43
120.6937392388889,18.7654381,169192931372118.7
120.97127709444445,18.7654381,396259418170682.6
121.24881495,18.7654381,221190738165418.5
121.52635280555556,18.7654381,-4210195369005.604
121.80389066111111,18.7654381,736948427513985.1
122.08142851666668,18.7654381,790038059712433.1
122.35896637222223,18.7654381,-2678752281594023.0
122.63650422777778,18.7654381,260815246305287.16
122.91404208333333,18.7654381,-9.110933373671062e+16
123.19157993888889,18.7654381,-1.4453780515909535e+18
123.46911779444444,18.7654381,-9.000101964712913e+18
123.74665565000001,18.7654381,-3.15274109460266e+19
124.02419350555556,18.7654381,-5.20271613724295e+19
124.30173136111111,18.7654381,7.824990261119179e+19
124.57926921666667,18.7654381,5.578423373829069e+20
124.85680707222222,18.7654381,-1.417742516894191e+21
125.13434492777779,18.7654381,-3.3177932365240627e+22
125.41188278333334,18.7654381,-2.537947593319449e+23
125.68942063888889,18.7654381,-1.3977987986876914e+24
